filepath,category
natural_data_32x32/died_out_0000.npy,died_out
natural_data_32x32/oscillator_period_2_0000.npy,oscillator_period_2
natural_data_32x32/still_life_0000.npy,still_life
natural_data_32x32/still_life_0001.npy,still_life
natural_data_32x32/died_out_0001.npy,died_out
natural_data_32x32/died_out_0002.npy,died_out
natural_data_32x32/died_out_0003.npy,died_out
natural_data_32x32/oscillator_period_2_0001.npy,oscillator_period_2
natural_data_32x32/still_life_0002.npy,still_life
natural_data_32x32/still_life_0003.npy,still_life
natural_data_32x32/oscillator_period_2_0002.npy,oscillator_period_2
natural_data_32x32/oscillator_period_2_0003.npy,oscillator_period_2
natural_data_32x32/still_life_0004.npy,still_life
natural_data_32x32/still_life_0005.npy,still_life
natural_data_32x32/still_life_0006.npy,still_life
natural_data_32x32/still_life_0007.npy,still_life
natural_data_32x32/still_life_0008.npy,still_life
natural_data_32x32/died_out_0004.npy,died_out
natural_data_32x32/died_out_0005.npy,died_out
natural_data_32x32/died_out_0006.npy,died_out
natural_data_32x32/still_life_0009.npy,still_life
natural_data_32x32/still_life_0010.npy,still_life
natural_data_32x32/oscillator_period_2_0004.npy,oscillator_period_2
natural_data_32x32/still_life_0011.npy,still_life
natural_data_32x32/still_life_0012.npy,still_life
natural_data_32x32/still_life_0013.npy,still_life
natural_data_32x32/still_life_0014.npy,still_life
natural_data_32x32/died_out_0007.npy,died_out
natural_data_32x32/died_out_0008.npy,died_out
natural_data_32x32/died_out_0009.npy,died_out
natural_data_32x32/died_out_0010.npy,died_out
natural_data_32x32/died_out_0011.npy,died_out
natural_data_32x32/still_life_0015.npy,still_life
natural_data_32x32/others_0000.npy,others
natural_data_32x32/died_out_0012.npy,died_out
natural_data_32x32/died_out_0013.npy,died_out
natural_data_32x32/died_out_0014.npy,died_out
natural_data_32x32/oscillator_period_2_0005.npy,oscillator_period_2
natural_data_32x32/others_0001.npy,others
natural_data_32x32/still_life_0016.npy,still_life
natural_data_32x32/still_life_0017.npy,still_life
natural_data_32x32/died_out_0015.npy,died_out
natural_data_32x32/still_life_0018.npy,still_life
natural_data_32x32/died_out_0016.npy,died_out
natural_data_32x32/still_life_0019.npy,still_life
natural_data_32x32/still_life_0020.npy,still_life
natural_data_32x32/died_out_0017.npy,died_out
natural_data_32x32/oscillator_period_2_0006.npy,oscillator_period_2
natural_data_32x32/still_life_0021.npy,still_life
natural_data_32x32/died_out_0018.npy,died_out
natural_data_32x32/still_life_0022.npy,still_life
natural_data_32x32/died_out_0019.npy,died_out
natural_data_32x32/still_life_0023.npy,still_life
natural_data_32x32/died_out_0020.npy,died_out
natural_data_32x32/died_out_0021.npy,died_out
natural_data_32x32/died_out_0022.npy,died_out
natural_data_32x32/oscillator_period_2_0007.npy,oscillator_period_2
