filepath,category
phase_2_conditional_diffusion/random_data_32x32/000000_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000001_oscillator_period_2.npy,oscillator_period_2
phase_2_conditional_diffusion/random_data_32x32/000002_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000003_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000004_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000005_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000006_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000007_oscillator_period_2.npy,oscillator_period_2
phase_2_conditional_diffusion/random_data_32x32/000008_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000009_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000010_oscillator_period_2.npy,oscillator_period_2
phase_2_conditional_diffusion/random_data_32x32/000011_oscillator_period_2.npy,oscillator_period_2
phase_2_conditional_diffusion/random_data_32x32/000012_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000013_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000014_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000015_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000016_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000017_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000018_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000019_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000020_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000021_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000022_oscillator_period_2.npy,oscillator_period_2
phase_2_conditional_diffusion/random_data_32x32/000023_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000024_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000025_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000026_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000027_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000028_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000029_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000030_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000031_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000032_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000033_others.npy,others
phase_2_conditional_diffusion/random_data_32x32/000034_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000035_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000036_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000037_oscillator_period_2.npy,oscillator_period_2
phase_2_conditional_diffusion/random_data_32x32/000038_others.npy,others
phase_2_conditional_diffusion/random_data_32x32/000039_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000040_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000041_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000042_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000043_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000044_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000045_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000046_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000047_oscillator_period_2.npy,oscillator_period_2
phase_2_conditional_diffusion/random_data_32x32/000048_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000049_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000050_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000051_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000052_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000053_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000054_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000055_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000056_oscillator_period_2.npy,oscillator_period_2
phase_2_conditional_diffusion/random_data_32x32/000057_oscillator_period_2.npy,oscillator_period_2
phase_2_conditional_diffusion/random_data_32x32/000058_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000059_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000060_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000061_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000062_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000063_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000064_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000065_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000066_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000067_oscillator_period_128.npy,oscillator_period_128
phase_2_conditional_diffusion/random_data_32x32/000068_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000069_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000070_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000071_oscillator_period_2.npy,oscillator_period_2
phase_2_conditional_diffusion/random_data_32x32/000072_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000073_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000074_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000075_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000076_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000077_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000078_oscillator_period_2.npy,oscillator_period_2
phase_2_conditional_diffusion/random_data_32x32/000079_oscillator_period_2.npy,oscillator_period_2
phase_2_conditional_diffusion/random_data_32x32/000080_still_life.npy,still_life
phase_2_conditional_diffusion/random_data_32x32/000081_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000082_oscillator_period_2.npy,oscillator_period_2
phase_2_conditional_diffusion/random_data_32x32/000083_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000084_died_out.npy,died_out
phase_2_conditional_diffusion/random_data_32x32/000085_oscillator_period_2.npy,oscillator_period_2
